baseline,128,core,1,372.365051
baseline,128,core,2,472.567810
baseline,128,core,3,560.721436
baseline,128,core,4,659.987610
baseline,128,core,5,748.290710
baseline,128,core,6,848.701660
baseline,128,core,7,935.009399
baseline,128,core,8,1034.124634
baseline,128,core,9,1123.378662
baseline,128,core,10,1263.493774
baseline,128,edge,1,353.100555
baseline,128,edge,2,451.411072
baseline,128,edge,3,540.468933
baseline,128,edge,4,639.067444
baseline,128,edge,5,726.914856
baseline,128,edge,6,826.403198
baseline,128,edge,7,914.644348
baseline,128,edge,8,1013.516296
baseline,128,edge,9,1101.602173
baseline,128,edge,10,1241.709839
baseline,256,core,1,118.003082
baseline,256,core,2,168.653610
baseline,256,core,3,216.770203
baseline,256,core,4,269.302643
baseline,256,core,5,315.290375
baseline,256,core,6,368.944946
baseline,256,core,7,415.917450
baseline,256,core,8,468.509674
baseline,256,core,9,515.557068
baseline,256,core,10,597.166199
baseline,256,edge,1,102.366982
baseline,256,edge,2,155.566727
baseline,256,edge,3,202.478622
baseline,256,edge,4,255.623367
baseline,256,edge,5,302.433350
baseline,256,edge,6,355.358185
baseline,256,edge,7,402.270691
baseline,256,edge,8,455.590088
baseline,256,edge,9,501.808502
baseline,256,edge,10,583.281006
baseline,512,core,1,42.222092
baseline,512,core,2,74.253304
baseline,512,core,3,98.011406
baseline,512,core,4,129.756943
baseline,512,core,5,154.477005
baseline,512,core,6,186.296280
baseline,512,core,7,213.097702
baseline,512,core,8,243.864929
baseline,512,core,9,270.616577
baseline,512,core,10,322.366577
baseline,512,edge,1,28.168139
baseline,512,edge,2,59.677937
baseline,512,edge,3,84.917381
baseline,512,edge,4,116.420586
baseline,512,edge,5,141.750702
baseline,512,edge,6,173.283997
baseline,512,edge,7,199.596542
baseline,512,edge,8,230.222992
baseline,512,edge,9,256.671844
baseline,512,edge,10,308.653046
